TargetID   NodeID
========   ======
       1        1
       2        1
       3        1
       4        1
       5        2
       6        2
       7        2
       8        2
       9        1
      10        1
      11        1
      12        1
      13        2
      14        2
      15        2
      16        2
      17        1
      18        1
      19        1
      20        1
      21        2
      22        2
      23        2
      24        2
      25        1
      26        1
      27        1
      28        1
      29        2
      30        2
      31        2
      32        2
      33        3
      34        3
      35        3
      36        3
      37        4
      38        4
      39        4
      40        4
      41        3
      42        3
      43        3
      44        3
      45        4
      46        4
      47        4
      48        4
      49        3
      50        3
      51        3
      52        3
      53        4
      54        4
      55        4
      56        4
      57        3
      58        3
      59        3
      60        3
      61        4
      62        4
      63        4
      64        4
