runtime: 38.542365 rate: 719930.942815
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 3625, 2217845, 2271847, 2357, 58354, 1327, 4357, 6.493s, 5
1, 0, 0, 279, 16001, 0, 2898, 10973, 2436, 26974, 16.574s, 5
2, 0, 0, 264, 13125, 0, 2175, 8117, 2601, 21242, 17.892s, 5
3, 0, 0, 299, 13501, 0, 3038, 13322, 2535, 26823, 17.234s, 5
4, 0, 0, 247, 15541, 0, 2513, 8755, 2547, 24296, 17.049s, 5
5, 0, 0, 263, 15809, 0, 1948, 11719, 2427, 27528, 16.587s, 5
6, 0, 0, 250, 14093, 0, 2327, 5253, 2601, 19346, 18.086s, 5
7, 0, 0, 324, 15345, 0, 2417, 17138, 2418, 32483, 15.506s, 5
8, 0, 0, 653, 9833, 0, 2843, 10211, 2754, 20044, 19.212s, 5
9, 0, 0, 830, 316964, 318450, 2553, 21990, 2403, 20505, 18.035s, 5
10, 0, 0, 943, 13592, 0, 2834, 9011, 2645, 22603, 18.043s, 5
11, 0, 0, 510, 15196, 0, 2616, 8220, 2543, 23416, 18.756s, 5
12, 0, 0, 510, 317725, 318450, 2882, 19031, 2646, 18307, 18.120s, 5
13, 0, 0, 595, 12894, 0, 2529, 9862, 2651, 22756, 17.157s, 5
14, 0, 0, 762, 14953, 0, 2665, 9067, 2544, 24020, 18.823s, 5
15, 0, 0, 496, 625175, 636900, 2015, 28831, 2606, 17108, 17.227s, 5
16, 0, 0, 494, 1234267, 1273800, 2760, 47510, 2828, 7981, 15.907s, 5
17, 0, 0, 800, 12734, 0, 3289, 14089, 3077, 26823, 17.228s, 5
18, 0, 0, 593, 10267, 0, 2842, 14797, 2543, 25064, 18.609s, 5
19, 0, 0, 895, 10584, 0, 3196, 8938, 2808, 19522, 18.126s, 5
20, 0, 0, 686, 1540010, 1592331, 2573, 65076, 2464, 12762, 13.572s, 5
21, 0, 0, 460, 2149249, 2229150, 2382, 85653, 2460, 5759, 10.797s, 5
22, 0, 0, 780, 10170, 0, 3043, 12125, 2821, 22295, 18.061s, 5
23, 0, 0, 658, 11880, 0, 2049, 14105, 2666, 25985, 18.214s, 5
24, 0, 0, 761, 15959, 0, 2499, 8116, 3068, 24075, 21.700s, 5
25, 0, 0, 1362, 17553, 0, 2038, 5147, 3081, 22700, 21.132s, 5
26, 0, 0, 1094, 15933, 0, 3003, 6330, 2661, 22263, 23.170s, 5
27, 0, 0, 1341, 17141, 0, 2419, 14803, 2901, 31944, 21.017s, 5
28, 0, 0, 704, 320194, 318450, 2325, 19399, 2673, 21144, 22.387s, 5
29, 0, 0, 998, 18473, 0, 3014, 8905, 3064, 27378, 20.793s, 5
30, 0, 0, 1098, 17455, 0, 3300, 13832, 3065, 31287, 22.406s, 5
31, 0, 0, 1078, 19280, 0, 2518, 12137, 2894, 31417, 21.270s, 5
32, 0, 0, 906, 16047, 0, 1503, 10836, 2436, 26883, 15.745s, 5
33, 0, 0, 676, 12294, 0, 2791, 12262, 2562, 24556, 17.963s, 5
34, 0, 0, 865, 12033, 0, 2754, 9069, 2560, 21102, 18.485s, 5
35, 0, 0, 950, 16518, 0, 2756, 15789, 2424, 32307, 15.600s, 5
36, 0, 0, 946, 12028, 0, 3070, 7700, 2608, 19728, 18.971s, 5
37, 0, 0, 8, 2759542, 2866050, 2142, 109821, 1465, 3322, 7.446s, 5
38, 0, 0, 708, 13874, 0, 2094, 11310, 2422, 25184, 17.951s, 5
39, 0, 0, 730, 12723, 0, 2310, 7331, 2579, 20054, 17.219s, 5
40, 0, 0, 617, 10309, 0, 2904, 8676, 2439, 18985, 15.651s, 5
41, 0, 0, 585, 11809, 0, 1947, 10503, 2587, 22312, 16.319s, 5
42, 0, 0, 803, 12190, 0, 2801, 13900, 2437, 26090, 16.715s, 5
43, 0, 0, 1345, 11739, 0, 2849, 8463, 2563, 20202, 16.904s, 5
44, 0, 0, 457, 317758, 318450, 3155, 19812, 2434, 19121, 15.833s, 5
45, 0, 0, 563, 12996, 0, 2839, 13221, 2444, 26217, 17.559s, 5
46, 0, 0, 610, 929824, 955350, 2673, 46485, 1809, 20962, 12.288s, 5
47, 0, 0, 449, 1843508, 1910700, 2772, 76523, 2160, 9337, 11.265s, 5
48, 0, 0, 761, 16362, 0, 2470, 11034, 2572, 27396, 20.839s, 5
49, 0, 0, 1044, 13762, 0, 2697, 12764, 3080, 26526, 22.322s, 5
50, 0, 0, 748, 15748, 0, 3740, 11902, 3068, 27650, 21.237s, 5
51, 0, 0, 652, 15289, 0, 2139, 7405, 2579, 22694, 20.491s, 5
52, 0, 0, 903, 15991, 0, 2260, 8265, 2589, 24256, 20.480s, 5
53, 0, 0, 475, 14405, 0, 2823, 10765, 2570, 25170, 21.604s, 5
54, 0, 0, 604, 625580, 636900, 2069, 27915, 2848, 16597, 19.846s, 5
55, 0, 0, 1194, 15336, 0, 2134, 5445, 2639, 20781, 21.471s, 5
56, 0, 0, 24, 2761871, 2866050, 2125, 104801, 1149, 631, 3.624s, 5
57, 0, 0, 618, 9855, 0, 2517, 11403, 2578, 21258, 14.621s, 5
58, 0, 0, 407, 1538210, 1592250, 2384, 64488, 2436, 10453, 11.579s, 5
59, 0, 0, 135, 2453540, 2547600, 3040, 99334, 1809, 5282, 7.568s, 5
60, 0, 0, 510, 621779, 636900, 2859, 38466, 2431, 23347, 13.374s, 5
61, 0, 0, 540, 313283, 318450, 2602, 18910, 2443, 13744, 13.210s, 5
62, 0, 0, 747, 10863, 0, 2643, 6839, 2433, 17702, 13.485s, 5
63, 0, 0, 22, 2455310, 2547600, 2268, 95606, 1479, 3324, 6.093s, 5
64, 0, 0, 664, 16692, 0, 2319, 11240, 2584, 27932, 19.411s, 5
65, 0, 0, 639, 14839, 0, 1852, 5852, 2593, 20691, 21.655s, 5
66, 0, 0, 963, 15313, 0, 2490, 13959, 2591, 29272, 19.342s, 5
67, 0, 0, 684, 17147, 0, 2072, 3201, 2607, 20348, 18.675s, 5
68, 0, 0, 968, 17003, 0, 2616, 10930, 2692, 27933, 18.223s, 5
69, 0, 0, 726, 14036, 0, 2809, 9444, 2860, 23480, 22.113s, 5
70, 0, 0, 557, 15003, 0, 1943, 8736, 2602, 23739, 19.895s, 5
71, 0, 0, 761, 624740, 636900, 2192, 32889, 2459, 20731, 16.848s, 5
72, 0, 0, 1270, 322422, 318450, 2517, 31784, 2588, 35757, 16.658s, 5
73, 0, 0, 1336, 320130, 318450, 2235, 27157, 2592, 28838, 19.329s, 5
74, 0, 0, 1333, 16538, 0, 2891, 17746, 2585, 34284, 18.814s, 5
75, 0, 0, 1041, 15752, 0, 2577, 6322, 2595, 22074, 19.231s, 5
76, 0, 0, 1510, 14422, 0, 2062, 8742, 2602, 23164, 19.652s, 5
77, 0, 0, 632, 15505, 0, 2298, 12601, 2605, 28106, 19.058s, 5
78, 0, 0, 1153, 319936, 318450, 2216, 22235, 2594, 23722, 18.674s, 5
79, 0, 0, 1389, 17246, 0, 2271, 12835, 2811, 30081, 19.058s, 4
