access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,7.9806363297e+02,7.9805869508e+02,2.9452650591e+08,2.9452832826e+08
read,1,7.9806515193e+02,7.9805873513e+02,2.9452594534e+08,2.9452831347e+08
read,2,7.9806346798e+02,7.9805871916e+02,2.9452656680e+08,2.9452831937e+08
read,3,7.9806384802e+02,7.9805871916e+02,2.9452642655e+08,2.9452831937e+08
read,4,7.9806523800e+02,7.9805872798e+02,2.9452591357e+08,2.9452831611e+08
read,5,7.9806514192e+02,7.9805872917e+02,2.9452594903e+08,2.9452831567e+08
read,6,7.9806298709e+02,7.9805872917e+02,2.9452674427e+08,2.9452831567e+08
read,7,7.9806516790e+02,7.9805872917e+02,2.9452593944e+08,2.9452831567e+08
read,8,7.9806525517e+02,7.9805895996e+02,2.9452590724e+08,2.9452823050e+08
read,9,7.9806440806e+02,7.9805899405e+02,2.9452621986e+08,2.9452821792e+08
read,10,7.9806527400e+02,7.9805898094e+02,2.9452590029e+08,2.9452822276e+08
read,11,7.9806412411e+02,7.9805897999e+02,2.9452632465e+08,2.9452822311e+08
read,12,7.9806426311e+02,7.9805898905e+02,2.9452627336e+08,2.9452821977e+08
read,13,7.9806531215e+02,7.9805898905e+02,2.9452588621e+08,2.9452821977e+08
read,14,7.9806445217e+02,7.9805899692e+02,2.9452620358e+08,2.9452821686e+08
read,15,7.9806393814e+02,7.9805899692e+02,2.9452639329e+08,2.9452821686e+08
read,16,7.9806439900e+02,7.9805887103e+02,2.9452622320e+08,2.9452826332e+08
read,17,7.9806392002e+02,7.9805887198e+02,2.9452639997e+08,2.9452826297e+08
read,18,7.9806361508e+02,7.9805887198e+02,2.9452651251e+08,2.9452826297e+08
read,19,7.9806381798e+02,7.9805887198e+02,2.9452643763e+08,2.9452826297e+08
read,20,7.9806354618e+02,7.9805887198e+02,2.9452653794e+08,2.9452826297e+08
read,21,7.9806377101e+02,7.9805887198e+02,2.9452645497e+08,2.9452826297e+08
read,22,7.9806532502e+02,7.9805887198e+02,2.9452588146e+08,2.9452826297e+08
read,23,7.9806522894e+02,7.9805887198e+02,2.9452591692e+08,2.9452826297e+08
read,24,7.9806436896e+02,7.9805880904e+02,2.9452623429e+08,2.9452828620e+08
read,25,7.9806527281e+02,7.9805881000e+02,2.9452590073e+08,2.9452828585e+08
read,26,7.9806421280e+02,7.9805881000e+02,2.9452629192e+08,2.9452828585e+08
read,27,7.9806336188e+02,7.9805881000e+02,2.9452660595e+08,2.9452828585e+08
read,28,7.9806369185e+02,7.9805881095e+02,2.9452648418e+08,2.9452828549e+08
read,29,7.9806515288e+02,7.9805881000e+02,2.9452594498e+08,2.9452828585e+08
read,30,7.9806429887e+02,7.9805881095e+02,2.9452626016e+08,2.9452828549e+08
read,31,7.9806403494e+02,7.9805881095e+02,2.9452635756e+08,2.9452828549e+08
read,32,7.9806531906e+02,7.9805886889e+02,2.9452588366e+08,2.9452826411e+08
read,33,7.9806306815e+02,7.9805886793e+02,2.9452671436e+08,2.9452826446e+08
read,34,7.9806531501e+02,7.9805887198e+02,2.9452588515e+08,2.9452826297e+08
read,35,7.9806388903e+02,7.9805887198e+02,2.9452641141e+08,2.9452826297e+08
read,36,7.9806521297e+02,7.9805886889e+02,2.9452592281e+08,2.9452826411e+08
read,37,7.9806516218e+02,7.9805886793e+02,2.9452594155e+08,2.9452826446e+08
read,38,7.9806283998e+02,7.9805886793e+02,2.9452679856e+08,2.9452826446e+08
read,39,7.9806349397e+02,7.9805886889e+02,2.9452655721e+08,2.9452826411e+08
read,40,7.9806452012e+02,7.9805886793e+02,2.9452617851e+08,2.9452826446e+08
read,41,7.9806532502e+02,7.9805886793e+02,2.9452588146e+08,2.9452826446e+08
read,42,7.9806530309e+02,7.9805887699e+02,2.9452588955e+08,2.9452826112e+08
read,43,7.9806429601e+02,7.9805887604e+02,2.9452626121e+08,2.9452826147e+08
read,44,7.9806329322e+02,7.9805888200e+02,2.9452663130e+08,2.9452825927e+08
read,45,7.9806328416e+02,7.9805888200e+02,2.9452663464e+08,2.9452825927e+08
read,46,7.9806516004e+02,7.9805888200e+02,2.9452594234e+08,2.9452825927e+08
read,47,7.9806531715e+02,7.9805888200e+02,2.9452588436e+08,2.9452825927e+08
read,48,7.9806294703e+02,7.9805891395e+02,2.9452675905e+08,2.9452824748e+08
read,49,7.9806356406e+02,7.9805891395e+02,2.9452653134e+08,2.9452824748e+08
read,50,7.9806402516e+02,7.9805891490e+02,2.9452636117e+08,2.9452824713e+08
