access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.3925755501e+02,4.1961602092e+02,3.1795534820e+08,5.6015709981e+08
write,1,7.3925738311e+02,3.0949916291e+02,3.1795542213e+08,7.5945566734e+08
write,2,7.3925658011e+02,3.0932148600e+02,3.1795576750e+08,7.5989190520e+08
write,3,7.3925599003e+02,4.1332103300e+02,3.1795602130e+08,5.6868843960e+08
write,4,7.3925612903e+02,4.0120750904e+02,3.1795596152e+08,5.8585865921e+08
write,5,7.3925769019e+02,3.0265277195e+02,3.1795529006e+08,7.7663552129e+08
write,6,7.3925757408e+02,4.1897822404e+02,3.1795534000e+08,5.6100980869e+08
write,7,7.3925743413e+02,4.2067972589e+02,3.1795540019e+08,5.5874072091e+08
write,8,7.3927435303e+02,7.1521873999e+02,3.1794812352e+08,3.2864196668e+08
write,9,7.3920275307e+02,7.1515654802e+02,3.1797892031e+08,3.2867054628e+08
write,10,7.3920264411e+02,7.3536869192e+02,3.1797896718e+08,3.1963679702e+08
write,11,7.3921790099e+02,7.1672444010e+02,3.1797240434e+08,3.2795155315e+08
write,12,7.3920233417e+02,7.3766497302e+02,3.1797910051e+08,3.1864179798e+08
write,13,7.3921323013e+02,7.3426131606e+02,3.1797441351e+08,3.2011885710e+08
write,14,7.3921660113e+02,6.5980150104e+02,3.1797296347e+08,3.5624485992e+08
write,15,7.3927561617e+02,6.7494112301e+02,3.1794758027e+08,3.4825392216e+08
write,16,7.3925720191e+02,6.3238809299e+02,3.1795550007e+08,3.7168772770e+08
write,17,7.3920159197e+02,7.2605266094e+02,3.1797941978e+08,3.2373807846e+08
write,18,7.3927406693e+02,7.0476806903e+02,3.1794824657e+08,3.3351524231e+08
write,19,7.3925604892e+02,7.1585467815e+02,3.1795599597e+08,3.2835001361e+08
write,20,7.3926910400e+02,7.3919301796e+02,3.1795038104e+08,3.1798310807e+08
write,21,7.3920207191e+02,7.2425568008e+02,3.1797921332e+08,3.2454131845e+08
write,22,7.3925630093e+02,7.3741949916e+02,3.1795588758e+08,3.1874786818e+08
write,23,7.3920164084e+02,7.1373683310e+02,3.1797939875e+08,3.2932431453e+08
write,24,7.3925670409e+02,6.8780420995e+02,3.1795571418e+08,3.4174099244e+08
write,25,7.3925773501e+02,6.8990497494e+02,3.1795527078e+08,3.4070038897e+08
write,26,7.3929685092e+02,6.7915710592e+02,3.1793844789e+08,3.4609207687e+08
write,27,7.3922264099e+02,6.4677216387e+02,3.1797036546e+08,3.6342147427e+08
write,28,7.3920264602e+02,6.8639552093e+02,3.1797896636e+08,3.4244234723e+08
write,29,7.3920278502e+02,6.7830959296e+02,3.1797890657e+08,3.4652450113e+08
write,30,7.3927415895e+02,6.7537222385e+02,3.1794820699e+08,3.4803162613e+08
write,31,7.3925680614e+02,6.7661422086e+02,3.1795567029e+08,3.4739277725e+08
write,32,7.3922027707e+02,7.0241137290e+02,3.1797138228e+08,3.3463423626e+08
write,33,7.3930559206e+02,6.9944392586e+02,3.1793468876e+08,3.3605394889e+08
write,34,7.3921725297e+02,6.9942746305e+02,3.1797268309e+08,3.3606185877e+08
write,35,7.3925625396e+02,6.9644608498e+02,3.1795590778e+08,3.3750048767e+08
write,36,7.3925627613e+02,7.0639180493e+02,3.1795589825e+08,3.3274861298e+08
write,37,7.3925774407e+02,6.9612334585e+02,3.1795526688e+08,3.3765696081e+08
write,38,7.3925764298e+02,6.9441337204e+02,3.1795531036e+08,3.3848843178e+08
write,39,7.3927523208e+02,7.0462227702e+02,3.1794774546e+08,3.3358424929e+08
write,40,7.3927677011e+02,6.4238491893e+02,3.1794708398e+08,3.6590350487e+08
write,41,7.3925616002e+02,6.8872346997e+02,3.1795594819e+08,3.4128486041e+08
write,42,7.3924951410e+02,6.8670876193e+02,3.1795880664e+08,3.4228614275e+08
write,43,7.3927417707e+02,6.8872260499e+02,3.1794819919e+08,3.4128528904e+08
write,44,7.3925682306e+02,6.7301304197e+02,3.1795566301e+08,3.4925161721e+08
write,45,7.3921725416e+02,6.4380203390e+02,3.1797268258e+08,3.6509809062e+08
write,46,7.3925784898e+02,6.8468212795e+02,3.1795522176e+08,3.4329929717e+08
write,47,7.3925210404e+02,6.7497527695e+02,3.1795769268e+08,3.4823630041e+08
write,48,7.3926758099e+02,6.7715945601e+02,3.1795103608e+08,3.4711306358e+08
write,49,7.3922024083e+02,6.3884995413e+02,3.1797139787e+08,3.6792816810e+08
write,50,7.3920189905e+02,6.7564613199e+02,3.1797928768e+08,3.4789053349e+08
write,51,7.3920218897e+02,6.7128793812e+02,3.1797916297e+08,3.5014913864e+08
write,52,7.3923894191e+02,7.2090828705e+02,3.1796335391e+08,3.2604826097e+08
write,53,7.3925663686e+02,7.2603223705e+02,3.1795574310e+08,3.2374718548e+08
write,54,7.3926352000e+02,7.3096937203e+02,3.1795278267e+08,3.2156052265e+08
write,55,7.3925697494e+02,7.3422427917e+02,3.1795559769e+08,3.2013500504e+08
write,56,7.3925788116e+02,6.4557619596e+02,3.1795520792e+08,3.6409473395e+08
write,57,7.3927528214e+02,6.4710605502e+02,3.1794772393e+08,3.6323395754e+08
write,58,7.3925043702e+02,6.4371189094e+02,3.1795840968e+08,3.6514921756e+08
write,59,7.3925602508e+02,6.5614389610e+02,3.1795600623e+08,3.5823070931e+08
write,60,7.3925774217e+02,6.4393682909e+02,3.1795526770e+08,3.6502166469e+08
write,61,7.3925792909e+02,6.4311829305e+02,3.1795518731e+08,3.6548625012e+08
write,62,7.3922609305e+02,6.3883079410e+02,3.1796888059e+08,3.6793920313e+08
write,63,7.3925767803e+02,6.4973501205e+02,3.1795529529e+08,3.6176424073e+08
write,64,7.3927525020e+02,7.3541303992e+02,3.1794773767e+08,3.1961752179e+08
write,65,7.3920271611e+02,7.2568098307e+02,3.1797893621e+08,3.2390389000e+08
write,66,7.3920274711e+02,7.3832418990e+02,3.1797892288e+08,3.1835729687e+08
write,67,7.3929607916e+02,6.4733404493e+02,3.1793877979e+08,3.6310602718e+08
write,68,7.3920278907e+02,7.3517116809e+02,3.1797890483e+08,3.1972267618e+08
write,69,7.3925616717e+02,6.4323088908e+02,3.1795594511e+08,3.6542227263e+08
write,70,7.3925722599e+02,7.1648592305e+02,3.1795548971e+08,3.2806072771e+08
write,71,7.3925671315e+02,6.6883069205e+02,3.1795571028e+08,3.5143556674e+08
write,72,7.3925631809e+02,6.0409828186e+02,3.1795588020e+08,3.8909379545e+08
write,73,7.3925762200e+02,5.1482011485e+02,3.1795531939e+08,4.5656897726e+08
write,74,7.3920334506e+02,5.1863907790e+02,3.1797866566e+08,4.5320706311e+08
write,75,7.3927541518e+02,5.7417581296e+02,3.1794766671e+08,4.0937094180e+08
write,76,7.3920263004e+02,5.2181870985e+02,3.1797897323e+08,4.5044550698e+08
write,77,7.3925771117e+02,5.8699599886e+02,3.1795528103e+08,4.0043014564e+08
write,78,7.3920321202e+02,6.0941766405e+02,3.1797872289e+08,3.8569753911e+08
write,79,7.3925775814e+02,6.0627962089e+02,3.1795526083e+08,3.8769387130e+08
