access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.5006886101e+02,3.5006600499e+02,1.7719872776e+07,1.7720017344e+07
read,1,3.5006886101e+02,3.5006600404e+02,1.7719872776e+07,1.7720017392e+07
read,2,3.5006886101e+02,3.5006600404e+02,1.7719872776e+07,1.7720017392e+07
read,3,3.5006886101e+02,3.5006600499e+02,1.7719872776e+07,1.7720017344e+07
read,4,3.5006959009e+02,3.5006600404e+02,1.7719835871e+07,1.7720017392e+07
read,5,3.5006886196e+02,3.5006600404e+02,1.7719872728e+07,1.7720017392e+07
read,6,3.5006886101e+02,3.5006600404e+02,1.7719872776e+07,1.7720017392e+07
read,7,3.5006886101e+02,3.5006600499e+02,1.7719872776e+07,1.7720017344e+07
read,8,3.5006885099e+02,3.5006600094e+02,1.7719873283e+07,1.7720017549e+07
read,9,3.5006885099e+02,3.5006599879e+02,1.7719873283e+07,1.7720017658e+07
read,10,3.5006932807e+02,3.5006599998e+02,1.7719849134e+07,1.7720017597e+07
read,11,3.5006885004e+02,3.5006599998e+02,1.7719873331e+07,1.7720017597e+07
read,12,3.5006885099e+02,3.5006599998e+02,1.7719873283e+07,1.7720017597e+07
read,13,3.5006885099e+02,3.5006599998e+02,1.7719873283e+07,1.7720017597e+07
read,14,3.5006885099e+02,3.5006599998e+02,1.7719873283e+07,1.7720017597e+07
read,15,3.5006885099e+02,3.5006599998e+02,1.7719873283e+07,1.7720017597e+07
read,16,3.5006889892e+02,3.5006605196e+02,1.7719870857e+07,1.7720014967e+07
read,17,3.5006889892e+02,3.5006605005e+02,1.7719870857e+07,1.7720015063e+07
read,18,3.5006889796e+02,3.5006605005e+02,1.7719870906e+07,1.7720015063e+07
read,19,3.5006889796e+02,3.5006605005e+02,1.7719870906e+07,1.7720015063e+07
read,20,3.5006957603e+02,3.5006605005e+02,1.7719836583e+07,1.7720015063e+07
read,21,3.5006889892e+02,3.5006605101e+02,1.7719870857e+07,1.7720015015e+07
read,22,3.5006889796e+02,3.5006605005e+02,1.7719870906e+07,1.7720015063e+07
read,23,3.5006889796e+02,3.5006605101e+02,1.7719870906e+07,1.7720015015e+07
read,24,3.5006954098e+02,3.5006605411e+02,1.7719838357e+07,1.7720014858e+07
read,25,3.5006889701e+02,3.5006605411e+02,1.7719870954e+07,1.7720014858e+07
read,26,3.5006889796e+02,3.5006605411e+02,1.7719870906e+07,1.7720014858e+07
read,27,3.5006889701e+02,3.5006605506e+02,1.7719870954e+07,1.7720014810e+07
read,28,3.5006889796e+02,3.5006605411e+02,1.7719870906e+07,1.7720014858e+07
read,29,3.5006889701e+02,3.5006605411e+02,1.7719870954e+07,1.7720014858e+07
read,30,3.5006889701e+02,3.5006605506e+02,1.7719870954e+07,1.7720014810e+07
read,31,3.5006889701e+02,3.5006605506e+02,1.7719870954e+07,1.7720014810e+07
read,32,3.5006890106e+02,3.5006605816e+02,1.7719870749e+07,1.7720014653e+07
read,33,3.5006890202e+02,3.5006605697e+02,1.7719870701e+07,1.7720014713e+07
read,34,3.5006970811e+02,3.5006605697e+02,1.7719829898e+07,1.7720014713e+07
read,35,3.5006890202e+02,3.5006605697e+02,1.7719870701e+07,1.7720014713e+07
read,36,3.5006890202e+02,3.5006605697e+02,1.7719870701e+07,1.7720014713e+07
read,37,3.5006890106e+02,3.5006605697e+02,1.7719870749e+07,1.7720014713e+07
read,38,3.5006890202e+02,3.5006605697e+02,1.7719870701e+07,1.7720014713e+07
read,39,3.5006890202e+02,3.5006605792e+02,1.7719870701e+07,1.7720014665e+07
read,40,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,41,3.5006967115e+02,3.5006605601e+02,1.7719831768e+07,1.7720014761e+07
read,42,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,43,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,44,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,45,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,46,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,47,3.5006890202e+02,3.5006605601e+02,1.7719870701e+07,1.7720014761e+07
read,48,3.5006888390e+02,3.5006603599e+02,1.7719871618e+07,1.7720015775e+07
read,49,3.5006888199e+02,3.5006603694e+02,1.7719871714e+07,1.7720015727e+07
read,50,3.5006888199e+02,3.5006603599e+02,1.7719871714e+07,1.7720015775e+07
read,51,3.5006888199e+02,3.5006603718e+02,1.7719871714e+07,1.7720015715e+07
read,52,3.5006888390e+02,3.5006603599e+02,1.7719871618e+07,1.7720015775e+07
read,53,3.5006888294e+02,3.5006603599e+02,1.7719871666e+07,1.7720015775e+07
read,54,3.5006932497e+02,3.5006603599e+02,1.7719849291e+07,1.7720015775e+07
read,55,3.5006888199e+02,3.5006603718e+02,1.7719871714e+07,1.7720015715e+07
read,56,3.5006888413e+02,3.5006603503e+02,1.7719871606e+07,1.7720015823e+07
read,57,3.5006921101e+02,3.5006603503e+02,1.7719855060e+07,1.7720015823e+07
read,58,3.5006888413e+02,3.5006603599e+02,1.7719871606e+07,1.7720015775e+07
read,59,3.5006888413e+02,3.5006603694e+02,1.7719871606e+07,1.7720015727e+07
read,60,3.5006888413e+02,3.5006603503e+02,1.7719871606e+07,1.7720015823e+07
read,61,3.5006888413e+02,3.5006603599e+02,1.7719871606e+07,1.7720015775e+07
read,62,3.5006888413e+02,3.5006603599e+02,1.7719871606e+07,1.7720015775e+07
read,63,3.5006888413e+02,3.5006603599e+02,1.7719871606e+07,1.7720015775e+07
read,64,3.5006902790e+02,3.5006618595e+02,1.7719864328e+07,1.7720008184e+07
read,65,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,66,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,67,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,68,3.5006986690e+02,3.5006618500e+02,1.7719821860e+07,1.7720008232e+07
read,69,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,70,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,71,3.5006902790e+02,3.5006618500e+02,1.7719864328e+07,1.7720008232e+07
read,72,3.5006890082e+02,3.5006605792e+02,1.7719870761e+07,1.7720014665e+07
read,73,3.5006944990e+02,3.5006605792e+02,1.7719842968e+07,1.7720014665e+07
read,74,3.5006890082e+02,3.5006605792e+02,1.7719870761e+07,1.7720014665e+07
read,75,3.5006889987e+02,3.5006605792e+02,1.7719870809e+07,1.7720014665e+07
read,76,3.5006889987e+02,3.5006605792e+02,1.7719870809e+07,1.7720014665e+07
read,77,3.5006889987e+02,3.5006605792e+02,1.7719870809e+07,1.7720014665e+07
read,78,3.5006889987e+02,3.5006605792e+02,1.7719870809e+07,1.7720014665e+07
