access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,8.1285323691e+02,6.9335728979e+02,7.6313600024e+06,8.9465788726e+06
write,1,8.1285323691e+02,8.1010979700e+02,7.6313600024e+06,7.6572036321e+06
write,2,8.1285323691e+02,8.1010974002e+02,7.6313600024e+06,7.6572041707e+06
write,3,8.1285323691e+02,8.1010972095e+02,7.6313600024e+06,7.6572043510e+06
write,4,8.1285323691e+02,8.1010968494e+02,7.6313600024e+06,7.6572046913e+06
write,5,8.1285323691e+02,8.1010973692e+02,7.6313600024e+06,7.6572042000e+06
write,6,8.1285409784e+02,8.1010964489e+02,7.6313519197e+06,7.6572050699e+06
write,7,8.1285323691e+02,8.1010965085e+02,7.6313600024e+06,7.6572050135e+06
write,8,8.1285336304e+02,6.9335741901e+02,7.6313588183e+06,8.9465772052e+06
write,9,8.1285336304e+02,8.1010984492e+02,7.6313588183e+06,7.6572031791e+06
write,10,8.1285419703e+02,6.9335738897e+02,7.6313509885e+06,8.9465775928e+06
write,11,8.1285336304e+02,6.9335743189e+02,7.6313588183e+06,8.9465770391e+06
write,12,8.1285336304e+02,6.9335738897e+02,7.6313588183e+06,8.9465775928e+06
write,13,8.1285336304e+02,8.1010984302e+02,7.6313588183e+06,7.6572031972e+06
write,14,8.1285336304e+02,6.9335740590e+02,7.6313588183e+06,8.9465773744e+06
write,15,8.1285336304e+02,6.9335738802e+02,7.6313588183e+06,8.9465776051e+06
write,16,8.1285400105e+02,6.9335748887e+02,7.6313528285e+06,8.9465763038e+06
write,17,8.1285341501e+02,6.9335745907e+02,7.6313583303e+06,8.9465766884e+06
write,18,8.1285341501e+02,6.9335745907e+02,7.6313583303e+06,8.9465766884e+06
write,19,8.1285341406e+02,6.9335749507e+02,7.6313583393e+06,8.9465762238e+06
write,20,8.1285341501e+02,6.9335745907e+02,7.6313583303e+06,8.9465766884e+06
write,21,8.1285341501e+02,7.0149518800e+02,7.6313583303e+06,8.8427914918e+06
write,22,8.1285341501e+02,6.9335748196e+02,7.6313583303e+06,8.9465763930e+06
write,23,8.1285341501e+02,8.1010996008e+02,7.6313583303e+06,7.6572020907e+06
write,24,8.1285334802e+02,6.9335740900e+02,7.6313589593e+06,8.9465773344e+06
write,25,8.1285334921e+02,6.9335739708e+02,7.6313589481e+06,8.9465774882e+06
write,26,8.1285415506e+02,6.9335740304e+02,7.6313513825e+06,8.9465774113e+06
write,27,8.1285334921e+02,6.9540082502e+02,7.6313589481e+06,8.9202880652e+06
write,28,8.1285334802e+02,8.1010985613e+02,7.6313589593e+06,7.6572030732e+06
write,29,8.1285334802e+02,6.9335742903e+02,7.6313589593e+06,8.9465770760e+06
write,30,8.1285334706e+02,8.1010983801e+02,7.6313589683e+06,7.6572032445e+06
