access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.7095237303e+02,3.3116512680e+02,2.7699581798e+05,3.1027498877e+05
read,1,3.7095385599e+02,3.4173501778e+02,2.7699471064e+05,3.0067815897e+05
read,2,3.7095171618e+02,3.4115087700e+02,2.7699630846e+05,3.0119299972e+05
read,3,3.7095384121e+02,3.5556870699e+02,2.7699472167e+05,2.8898003109e+05
read,4,3.7095246220e+02,3.3169660378e+02,2.7699575140e+05,3.0977783562e+05
read,5,3.7095382905e+02,3.2886537099e+02,2.7699473075e+05,3.1244474203e+05
read,6,3.7095257020e+02,3.4878693986e+02,2.7699567075e+05,2.9459892059e+05
read,7,3.7095383000e+02,3.2778415585e+02,2.7699473004e+05,3.1347535922e+05
read,8,3.7095358896e+02,3.2821951699e+02,2.7699491003e+05,3.1305955521e+05
read,9,3.7095149589e+02,3.1497507405e+02,2.7699647296e+05,3.2622345215e+05
read,10,3.7095236588e+02,3.3213412619e+02,2.7699582333e+05,3.0936976329e+05
read,11,3.7095202899e+02,3.5544499302e+02,2.7699607488e+05,2.8908061168e+05
read,12,3.7095254898e+02,3.4161406612e+02,2.7699568660e+05,3.0078461688e+05
read,13,3.7095355201e+02,3.3420620418e+02,2.7699493762e+05,3.0745167120e+05
read,14,3.7095358086e+02,3.4519621205e+02,2.7699491608e+05,2.9766333584e+05
read,15,3.7095204592e+02,3.2152037907e+02,2.7699606224e+05,3.1958240500e+05
read,16,3.7095151591e+02,3.4995253587e+02,2.7699645801e+05,2.9361769231e+05
read,17,3.7095213890e+02,3.7094811702e+02,2.7699599281e+05,2.7699899605e+05
read,18,3.7095240998e+02,3.5031365204e+02,2.7699579039e+05,2.9331502042e+05
read,19,3.7095171094e+02,3.3448289895e+02,2.7699631238e+05,3.0719733751e+05
read,20,3.7095248103e+02,3.6263594484e+02,2.7699573734e+05,2.8334823798e+05
read,21,3.7095246601e+02,3.5616103792e+02,2.7699574855e+05,2.8849942880e+05
read,22,3.7095169306e+02,3.4115596294e+02,2.7699632573e+05,3.0118850954e+05
read,23,3.7095206404e+02,3.4836499691e+02,2.7699604871e+05,2.9495574157e+05
read,24,3.7095218587e+02,3.3706586409e+02,2.7699595774e+05,3.0484325750e+05
read,25,3.7095360112e+02,3.5325991106e+02,2.7699490095e+05,2.9086871389e+05
read,26,3.7095060802e+02,3.4799177504e+02,2.7699713595e+05,2.9527208219e+05
read,27,3.7095360017e+02,3.6425476098e+02,2.7699490166e+05,2.8208898553e+05
read,28,3.7095282102e+02,3.4228240800e+02,2.7699548346e+05,3.0019730374e+05
read,29,3.7095361018e+02,3.4412564397e+02,2.7699489419e+05,2.9858936060e+05
read,30,3.7095059013e+02,3.4618546200e+02,2.7699714930e+05,2.9681274138e+05
read,31,3.7095215416e+02,3.5734963918e+02,2.7699598142e+05,2.8753983420e+05
read,32,3.7095384884e+02,3.3969812679e+02,2.7699471598e+05,3.0248107922e+05
read,33,3.7095247483e+02,3.4108406591e+02,2.7699574197e+05,3.0125199700e+05
read,34,3.7095300698e+02,3.4757457900e+02,2.7699534460e+05,2.9562649920e+05
read,35,3.7095134187e+02,3.5313757801e+02,2.7699658797e+05,2.9096947592e+05
read,36,3.7095168495e+02,3.6359163690e+02,2.7699633178e+05,2.8260346381e+05
read,37,3.7095237184e+02,3.6224524593e+02,2.7699581887e+05,2.8365384268e+05
read,38,3.7095360398e+02,3.4179101586e+02,2.7699489881e+05,3.0062889670e+05
read,39,3.7095384097e+02,3.6108792782e+02,2.7699472185e+05,2.8456297783e+05
read,40,3.7095171785e+02,3.2725217581e+02,2.7699630721e+05,3.1398494371e+05
read,41,3.7095270395e+02,3.3029191184e+02,2.7699557088e+05,3.1109528365e+05
read,42,3.7095215678e+02,3.5003195381e+02,2.7699597946e+05,2.9355107407e+05
read,43,3.7095297694e+02,3.3222289181e+02,2.7699536703e+05,3.0928710373e+05
read,44,3.7095210600e+02,3.6516277385e+02,2.7699601738e+05,2.8138754374e+05
read,45,3.7095360684e+02,3.4156904101e+02,2.7699489668e+05,3.0082426585e+05
read,46,3.7095357490e+02,3.3077171183e+02,2.7699492053e+05,3.1064402525e+05
read,47,3.7095383286e+02,3.0035849595e+02,2.7699472791e+05,3.4209871665e+05
read,48,3.7095098901e+02,3.5302295589e+02,2.7699685146e+05,2.9106395005e+05
read,49,3.7095289493e+02,3.6475285387e+02,2.7699542828e+05,2.8170377534e+05
read,50,3.7095356488e+02,3.5080546093e+02,2.7699492801e+05,2.9290380979e+05
read,51,3.7095357990e+02,3.5483279681e+02,2.7699491680e+05,2.8957936505e+05
read,52,3.7095266986e+02,3.4622524500e+02,2.7699559634e+05,2.9677863612e+05
