runtime: 44.771283 rate: 293267.650587
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 0, 756843, 756789, 375, 36317, 387, 36374, 7.202s, 5
1, 0, 0, 0, 2214293, 2270304, 449, 79315, 386, 23307, 4.886s, 5
2, 0, 0, 1577, 27795, 0, 462, 17929, 439, 45724, 6.581s, 5
3, 0, 0, 0, 33601, 0, 528, 19407, 472, 53008, 8.033s, 5
4, 0, 0, 4670, 1018072, 1021666, 658, 42552, 463, 38961, 8.852s, 5
5, 0, 0, 95, 26882, 1, 506, 25975, 491, 52857, 6.638s, 5
6, 0, 0, 566, 27314, 0, 342, 10120, 437, 37434, 6.645s, 5
7, 0, 0, 0, 4387696, 4540608, 387, 152913, 125, 7, 0.127s, 5
8, 0, 0, 0, 755513, 756768, 465, 41046, 540, 39792, 11.014s, 5
9, 0, 0, 0, 3654577, 3783840, 579, 135273, 391, 6015, 6.387s, 5
10, 0, 0, 2049, 41489, 16, 596, 18797, 598, 60271, 12.893s, 5
11, 0, 0, 5359, 44207, 0, 521, 25254, 610, 69461, 13.380s, 5
12, 0, 0, 2788, 41499, 0, 631, 39285, 614, 80784, 13.102s, 5
13, 0, 0, 1994, 31687, 0, 322, 11874, 550, 43561, 11.973s, 5
14, 0, 0, 4453, 29921, 0, 446, 24110, 549, 54031, 10.949s, 5
15, 0, 0, 6241, 38580, 0, 344, 11138, 559, 49718, 10.859s, 4
