access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,5.6034303212e+02,3.6735512495e+02,1.1901200218e+09,1.8153427469e+09
write,1,5.6033387899e+02,5.4354459596e+02,1.1901394626e+09,1.2269010981e+09
write,2,5.6030629611e+02,4.9208426595e+02,1.1901980511e+09,1.3552058210e+09
write,3,5.6030871010e+02,5.6029148006e+02,1.1901929233e+09,1.1902295240e+09
write,4,5.6030944419e+02,4.8854897404e+02,1.1901913640e+09,1.3650125107e+09
write,5,5.6029448915e+02,4.8428289485e+02,1.1902231319e+09,1.3770369937e+09
write,6,5.6029453516e+02,5.4273111892e+02,1.1902230341e+09,1.2287400490e+09
write,7,5.6032550597e+02,4.8914049506e+02,1.1901572470e+09,1.3633617915e+09
write,8,5.6030665588e+02,3.7137403989e+02,1.1901972868e+09,1.7956975717e+09
write,9,5.6029425693e+02,3.3348114586e+02,1.1902236252e+09,1.9997396252e+09
write,10,5.6029449582e+02,5.3799263501e+02,1.1902231177e+09,1.2395624368e+09
write,11,5.6029443097e+02,3.8267792583e+02,1.1902232554e+09,1.7426546363e+09
write,12,5.6029445386e+02,4.7424650002e+02,1.1902232068e+09,1.4061789842e+09
write,13,5.6031994319e+02,4.7704910779e+02,1.1901690628e+09,1.3979178469e+09
write,14,5.6029419708e+02,5.2422451496e+02,1.1902237523e+09,1.2721180384e+09
write,15,5.6030854511e+02,5.5156469989e+02,1.1901932738e+09,1.2090611705e+09
