access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,2.0529984670e+03,8.2927703595e+02,9.5048048842e+06,2.3530556147e+07
write,1,2.0529984670e+03,8.2927708101e+02,9.5048048842e+06,2.3530554869e+07
write,2,2.0529984620e+03,2.0529521799e+03,9.5048049073e+06,9.5050191850e+06
write,3,2.0529984679e+03,1.7759478409e+03,9.5048048797e+06,1.0987569233e+07
write,4,2.0529984720e+03,8.2927797008e+02,9.5048048610e+06,2.3530529642e+07
write,5,2.0529986539e+03,8.2927707005e+02,9.5048040188e+06,2.3530555180e+07
write,6,2.0529984729e+03,8.2927707887e+02,9.5048048566e+06,2.3530554929e+07
write,7,2.0529984729e+03,8.2927718091e+02,9.5048048566e+06,2.3530552034e+07
write,8,2.0529951880e+03,8.2927563691e+02,9.5048200649e+06,2.3530595845e+07
write,9,2.0529951890e+03,8.2928401780e+02,9.5048200605e+06,2.3530358040e+07
write,10,2.0529951880e+03,8.2927559280e+02,9.5048200649e+06,2.3530597096e+07
write,11,2.0529951870e+03,8.2927564192e+02,9.5048200693e+06,2.3530595703e+07
write,12,2.0529953909e+03,8.2928408003e+02,9.5048191255e+06,2.3530356275e+07
write,13,2.0529951890e+03,8.2927565384e+02,9.5048200605e+06,2.3530595364e+07
write,14,2.0529951880e+03,8.2928406000e+02,9.5048200649e+06,2.3530356843e+07
write,15,2.0529951880e+03,8.2927565479e+02,9.5048200649e+06,2.3530595337e+07
